REFERENCE_COMPOUND_NAME,PUBCHEM_CID,CHEBI_ID,CHEBI_NAME,COMPOUND_ID,MolecularFormula,CanonicalSMILES,IsomericSMILES,InChI,InChIKey,IUPACName,Fingerprint2D,inflammation,multiple_sclerosis,mental_health
DUKE:DEHYDRACETIC-ACID,PCID:95775,CHEBI:169987,Isodehydracetic acid,PCID:95775,C8H8O4,CC1=CC(=O)OC(=C1C(=O)O)C,CC1=CC(=O)OC(=C1C(=O)O)C,"InChI=1S/C8H8O4/c1-4-3-6(9)12-5(2)7(4)8(10)11/h3H,1-2H3,(H,10,11)",QOADIMYPCZMZSG-UHFFFAOYSA-N,"2,4-dimethyl-6-oxopyran-3-carboxylic acid",AAADccBwOAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAGgAACAAADASAgAACCAAABgCIAiDSCAAACAAgIAAACAEAAEgIBBAAIQACUAAEQAAIsQIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:ALPHA-TOCOPHEROL,PCID:14985,CHEBI:18145,"(R,R,R)-alpha-tocopherol",PCID:14985,C29H50O2,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=C1O)C)C,"InChI=1S/C29H50O2/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-18-29(8)19-17-26-25(7)27(30)23(5)24(6)28(26)31-29/h20-22,30H,9-19H2,1-8H3/t21-,22-,29-/m1/s1",GVJHHUAWPYXKBD-IEOSBIPESA-N,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol",AAADcfB4MAAAAAAAAAAAAAAAAAAAAAAAAAA0QAAAAAAAAACRAAAAGgAACAAADUSAmAACBoAABgCAAgBAAAACCAAgIAAAiAAECIgMJiKGMBqCeCCkwBEIuAfAwPAOwQADAAAYAACCAAYAADAAAAAAAAAAAA==,False,True,True
DUKE:(+)-TERPINEN-4-OL,PCID:2724161,CHEBI:78884,4-terpineol,PCID:2724161,C10H18O,CC1=CCC(CC1)(C(C)C)O,CC1=CC[C@@](CC1)(C(C)C)O,"InChI=1S/C10H18O/c1-8(2)10(11)6-4-9(3)5-7-10/h4,8,11H,5-7H2,1-3H3/t10-/m1/s1",WRYLYDPHFGVWKC-SNVBAGLBSA-N,(1S)-4-methyl-1-propan-2-ylcyclohex-3-en-1-ol,AAADceBwIAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAGgAACAAADUSAgAACAAAAAgCAAiBCAAAAAAAgAAAACAAAAAgAAAIAAQAAQAAEwAAIAAOAgEAOgAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,True
DUKE:DOCOSYL-FERULATE,PCID:14238616,CHEBI:NA,,PCID:14238616,C32H54O4,CCCCCCCCCCCCCCCCCCCCCCOC(=O)C=CC1=CC(=C(C=C1)O)OC,CCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/C1=CC(=C(C=C1)O)OC,"InChI=1S/C32H54O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27-36-32(34)26-24-29-23-25-30(33)31(28-29)35-2/h23-26,28,33H,3-22,27H2,1-2H3/b26-24+",USNYNNITUQSEEV-SHHOIMCASA-N,docosyl (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate,AAADcfB8OAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASgmAIyDoAABgCIAiDSCAACCAAgIAAIiAAGiMgNJiKGMRqCcCMkwBELuYeAwLAOIAABAAAAQABAAAIAAACAAAAAAAAAAA==,False,False,False
DUKE:METHYL-9-METHYLDECANOATE,PCID:12772143,CHEBI:182877,"[(2R,3S,4S,5R,6S)-3,4,5-Trihydroxy-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]methyl 9-methyldecanoate",PCID:12772143,C12H24O2,CC(C)CCCCCCCC(=O)OC,CC(C)CCCCCCCC(=O)OC,"InChI=1S/C12H24O2/c1-11(2)9-7-5-4-6-8-10-12(13)14-3/h11H,4-10H2,1-3H3",XUSHLLPSFVAOHS-UHFFFAOYSA-N,methyl 9-methyldecanoate,AAADceBwMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAAAAAADQCAgAICCAAABAAIAACQCAAAAAAAAAAAAAEAAAAAABIAAAAAAAAEAAAAAAGIyOCMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:CIMICIFUGOSIDE,PCID:441913,CHEBI:3700,Cimicifugoside,PCID:441913,C37H54O11,CC1CC2(C3C(O3)(C(O2)O)C)OC4C1C5(C(CC67CC68CCC(C(C8CC=C7C5(C4)C)(C)C)OC9C(C(C(CO9)O)O)O)OC(=O)C)C,C[C@@H]1CC2(C3C(O3)(C(O2)O)C)O[C@@H]4[C@H]1[C@]5([C@@H](C[C@@]67C[C@@]68CC[C@@H](C([C@@H]8CC=C7[C@@]5(C4)C)(C)C)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)OC(=O)C)C,"InChI=1S/C37H54O11/c1-17-12-37(29-34(7,47-29)30(42)48-37)46-20-13-32(5)22-9-8-21-31(3,4)23(45-28-27(41)26(40)19(39)15-43-28)10-11-35(21)16-36(22,35)14-24(44-18(2)38)33(32,6)25(17)20/h9,17,19-21,23-30,39-42H,8,10-16H2,1-7H3/t17-,19-,20+,21+,23+,24-,25+,26+,27-,28+,29?,30?,32+,33-,34?,35-,36+,37?/m1/s1",XUJMHSCMPCZWOV-UJAIUVFWSA-N,"[(1'S,3'R,4'R,5'R,6'R,10'S,12'S,16'R,18'S,21'R)-2-hydroxy-1,4',6',12',17',17'-hexamethyl-18'-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyspiro[3,6-dioxabicyclo[3.1.0]hexane-4,8'-9-oxahexacyclo[11.9.0.01,21.04,12.05,10.016,21]docos-13-ene]-3'-yl] acetate",AAADcfB8PAAAAAAAAAAAAAAAGiAAAaIAAAA0aJECBAAAAGiAAAAAGgAACAAAD1SwgAMCCAAABgCIAiDSCAAAAAAgAAAACAAAAAgREAIAAAAiQAAFgAAPAAPA4PwPgAAAAAAAAADAAAYAADAAAYAADAAAAA==,False,False,False
DUKE:PHENETHYL-ALCOHOL,PCID:6054,CHEBI:49000,2-phenylethanol,PCID:6054,C8H10O,C1=CC=C(C=C1)CCO,C1=CC=C(C=C1)CCO,"InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",WRMNZCZEMHIOCP-UHFFFAOYSA-N,2-phenylethanol,AAADccBwIAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADACgmAIwAIAAAgCAAiBCAAACAAAgAAAIiAAAAIgIMCKAERCAYAAkwAEIiAeAwKAOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,True
DUKE:GLYCEOLLIDIN-I,PCID:44257483,CHEBI:174569,Glyceollidin I,PCID:44257483,C20H20O5,CC(=CCC1=C(C=CC2=C1OCC3(C2OC4=C3C=CC(=C4)O)O)O)C,CC(=CCC1=C(C=CC2=C1OCC3(C2OC4=C3C=CC(=C4)O)O)O)C,"InChI=1S/C20H20O5/c1-11(2)3-5-13-16(22)8-6-14-18(13)24-10-20(23)15-7-4-12(21)9-17(15)25-19(14)20/h3-4,6-9,19,21-23H,5,10H2,1-2H3",NLHMQOCIFRDSNU-UHFFFAOYSA-N,"4-(3-methylbut-2-enyl)-6,11a-dihydro-[1]benzofuro[3,2-c]chromene-3,6a,9-triol",AAADceB4OAAAAAAAAAAAAAAAAAAAASAAAAA0YIAAAAAAAEiRQAAAGgAACAAADFSgmAIyBoAABgCAAiBCAAACCAAgIAAIiAAGCIgNJyKGMRqCeCClwBULuAfA4PwOoAACCAAIAABAAAQQABAAAAAAAAAAAA==,False,False,False
DUKE:CHRYSOERIOL-7-O-BETA-D-GLUCOSIDE,PCID:11294177,CHEBI:NA,,PCID:11294177,C22H22O11,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,"InChI=1S/C22H22O11/c1-30-15-4-9(2-3-11(15)24)14-7-13(26)18-12(25)5-10(6-16(18)32-14)31-22-21(29)20(28)19(27)17(8-23)33-22/h2-7,17,19-25,27-29H,8H2,1H3/t17-,19-,20+,21-,22-/m1/s1",GAMYVSCDDLXAQW-MIUGBVLSSA-N,"5-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",AAADceB4PAAAAAAAAAAAAAAAAAAAAAAAAAA0YIEAAAAAAACBQAAAGgAACAAADBSwmAMyDoAABgCIAqBSAAACCAAkIAAIiAEGiMgdNzaGNRqieWOl4BUPuQfI7LzOIAABCAAIQABAAAIQABCAAAAAAAAAAA==,False,False,False
DUKE:METHYL-THIOCYANATE,PCID:11168,CHEBI:61112,methyl thiocyanate,PCID:11168,C2H3NS,CSC#N,CSC#N,InChI=1S/C2H3NS/c1-4-2-3/h1H3,VYHVQEYOFIYNJP-UHFFFAOYSA-N,methyl thiocyanate,AAADcQBCAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAFAQAAAAAAAAAAACCAAAAAAgQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:WOGONOSIDE,PCID:3084961,CHEBI:NA,,PCID:3084961,C22H20O11,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)OC4C(C(C(C(O4)C(=O)O)O)O)O,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O,"InChI=1S/C22H20O11/c1-30-18-13(32-22-17(27)15(25)16(26)20(33-22)21(28)29)8-11(24)14-10(23)7-12(31-19(14)18)9-5-3-2-4-6-9/h2-8,15-17,20,22,24-27H,1H3,(H,28,29)/t15-,16-,17+,20-,22+/m0/s1",LNOHXHDWGCMVCO-NTKSAMNMSA-N,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-(5-hydroxy-8-methoxy-4-oxo-2-phenylchromen-7-yl)oxyoxane-2-carboxylic acid",AAADceB4PAAAAAAAAAAAAAAAAAAAAAAAAAA0YIEAAAAAAACBQAAAGgAACAAADBSwmAMyDoAABgCIAqDSCAICCAAkIAAIiAFGiMgdNzaGNR6ieWKl4BUPuQfK7LzOIQABCAAIQABCAAIQABCAAAAAAAAAAA==,False,False,False
DUKE:METHYL-P-HYDROXYCINNAMATE,PCID:5319562,CHEBI:86904,4-coumaric acid methyl ester,PCID:5319562,C10H10O3,COC(=O)C=CC1=CC=C(C=C1)O,COC(=O)/C=C/C1=CC=C(C=C1)O,"InChI=1S/C10H10O3/c1-13-10(12)7-4-8-2-5-9(11)6-3-8/h2-7,11H,1H3/b7-4+",NITWSHWHQAQBAW-QPJJXVBHSA-N,methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate,AAADccBwMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASAmAIyDoAABgCIAiDSCAACAAAgIAAIiAAGCMgIJiKCMRKAcAAkwBEIuYeAwAAOIAAAAAAAAABAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:KAEMPFEROL,PCID:5280863,CHEBI:58573,kaempferol oxoanion,PCID:5280863,C15H10O6,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",AAADccBwOAAAAAAAAAAAAAAAAAAAAAAAAAAwYIAAAAAAAACBQAAAGgAACAAADASAmAAwBoAABgCIAqBSAAICCAAkIAAIiAFGCMgMJzaGNRqCeWCl4BUIuQfI7KzOIAAACAAIAABAAAAQABAAAAAAAAAAAA==,True,True,True
DUKE:7-DEACETYLKHIVORIN,PCID:6708579,CHEBI:NA,,PCID:6708579,C30H40O9,CC(=O)OC1CC(C2(C3CCC4(C(OC(=O)C5C4(C3(C(CC2C1(C)C)O)C)O5)C6=COC=C6)C)C)OC(=O)C,CC(=O)O[C@H]1C[C@H](C(C2[C@]1(C3CC[C@]4([C@@H](OC(=O)[C@@H]5[C@@]4([C@@]3([C@@H](C2)O)C)O5)C6=COC=C6)C)C)(C)C)OC(=O)C,"InChI=1S/C30H40O9/c1-15(31)36-21-13-22(37-16(2)32)28(6)18-8-10-27(5)23(17-9-11-35-14-17)38-25(34)24-30(27,39-24)29(18,7)20(33)12-19(28)26(21,3)4/h9,11,14,18-24,33H,8,10,12-13H2,1-7H3/t18?,19?,20-,21-,22+,23+,24-,27+,28-,29+,30-/m1/s1",MRMHZWKIOFZZID-WNXWNNQMSA-N,"[(1S,2R,4S,7S,8S,12S,13S,15R,19R)-13-acetyloxy-7-(furan-3-yl)-19-hydroxy-1,8,12,16,16-pentamethyl-5-oxo-3,6-dioxapentacyclo[9.8.0.02,4.02,8.012,17]nonadecan-15-yl] acetate",AAADcfB4PAAAAAAAAAAAAAAAEgAAASAAAAA0YMEABIAAAADRgAAAGgAACAAAD1SgmAIyDIAABkCIAijSiAICCAAkIAAIiAFGCMgNNxYENQ6CWSCl4BEKKYPK7PzPgAAAAAAAAADAAAYQADAAAAAAAAAAAA==,False,False,False
DUKE:NARINGENIN-7-RHAMNOGLUCOSIDE,PCID:76315298,CHEBI:NA,,PCID:76315298,C27H32O15,C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)O)O)C5=CC=C(C=C5)O,C1C(OC2=CC(=CC(=C2C1=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O[C@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)O)O)O)C5=CC=C(C=C5)O,"InChI=1S/C27H32O15/c28-8-17-20(33)22(35)24(37)26(40-17)42-25-23(36)21(34)18(9-29)41-27(25)38-12-5-13(31)19-14(32)7-15(39-16(19)6-12)10-1-3-11(30)4-2-10/h1-6,15,17-18,20-31,33-37H,7-9H2/t15?,17-,18+,20-,21+,22+,23-,24+,25+,26-,27+/m0/s1",APDPBDRBSVLAAQ-OAEQQVNASA-N,"7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",AAADcfB4PAAAAAAAAAAAAAAAAAAAAAAAAAA0aJECAAAAAACRQAAAGgAACAAADBSwmAMwDoAABgCIAqBSAAACCAAkIAAIiAEGCMgdNzaGNRqieWCl4BUPuQfI7OzOIAAACAAIAABAAAAQABAAAAAAAAAAAA==,False,False,False
DUKE:DIHYDROMORIN,PCID:5458714,CHEBI:NA,,PCID:5458714,C15H12O7,C1=CC(=C(C=C1O)O)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C1=CC(=C(C=C1O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O,"InChI=1S/C15H12O7/c16-6-1-2-8(9(18)3-6)15-14(21)13(20)12-10(19)4-7(17)5-11(12)22-15/h1-5,14-19,21H/t14-,15+/m0/s1",QIWOFDHUQPJCJF-LSDHHAIUSA-N,"(2R,3R)-2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxy-2,3-dihydrochromen-4-one",AAADccBwOAAAAAAAAAAAAAAAAAAAAAAAAAA0YIAAAAAAAACRQAAAGgAACAAADBSgmAIwBoAABgCIAqBSAAICCAAkIAAIiAFGCMgNNzaGNRqCeWCl4BULuQfI7OzOIAAACAAIAABAAAAQABAAAAAAAAAAAA==,False,False,False
DUKE:ISOMALTOL,PCID:18898,CHEBI:168818,Glucosylisomaltol,PCID:18898,C6H6O3,CC(=O)C1=C(C=CO1)O,CC(=O)C1=C(C=CO1)O,"InChI=1S/C6H6O3/c1-4(7)6-5(8)2-3-9-6/h2-3,8H,1H3",HPIGCVXMBGOWTF-UHFFFAOYSA-N,1-(3-hydroxyfuran-2-yl)ethanone,AAADcYBgMAAAAAAAAAAAAAAAAAAAASAAAAAAAAAAAAAAAAABgAAAGgAACAAACASgkAIyBoAABkCIAKhSgAICCAAkIAAIiAFGiMgNJzaGNB6CWWOl4BULuYeITgAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
HG:aporphine,PCID:114911,CHEBI:35643,aporphine,PCID:114911,C17H17N,CN1CCC2=C3C1CC4=CC=CC=C4C3=CC=C2,CN1CCC2=C3C1CC4=CC=CC=C4C3=CC=C2,"InChI=1S/C17H17N/c1-18-10-9-12-6-4-8-15-14-7-3-2-5-13(14)11-16(18)17(12)15/h2-8,16H,9-11H2,1H3",BZKUYNBAFQJRDM-UHFFFAOYSA-N,"6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline",AAADceB6AAAAAAAAAAAAAAAAAAAAAAAAAAA8YMEAAAAAAADxQAAAHAAAAAAADCjBGAQyAIMAAACAAiBCAACCAAAgAAAIiAAIBIgIICKAkRGEIAhggACIiAcQgMAOgAACAAAQAACQAASAACQAAAAAAAAAAA==,False,False,True
DUKE:GLYOXYLIC-ACID,PCID:760,CHEBI:16891,glyoxylic acid,PCID:760,C2H2O3,C(=O)C(=O)O,C(=O)C(=O)O,"InChI=1S/C2H2O3/c3-1-2(4)5/h1H,(H,4,5)",HHLFWLYXYJOTON-UHFFFAOYSA-N,oxaldehydic acid,AAADcQBAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAAAACggAIACAAAAgAIAAiQiAIAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:DIPRENYL-NARINGENIN,PCID:66853999,CHEBI:2156,"6,8-diprenylnaringenin",PCID:66853999,C25H28O5,CC(=CCC1C(=O)C2=C(C=C(C=C2OC1(CC=C(C)C)C3=CC=C(C=C3)O)O)O)C,CC(=CCC1C(=O)C2=C(C=C(C=C2OC1(CC=C(C)C)C3=CC=C(C=C3)O)O)O)C,"InChI=1S/C25H28O5/c1-15(2)5-10-20-24(29)23-21(28)13-19(27)14-22(23)30-25(20,12-11-16(3)4)17-6-8-18(26)9-7-17/h5-9,11,13-14,20,26-28H,10,12H2,1-4H3",VWRSCSDMUZSYQB-UHFFFAOYSA-N,"5,7-dihydroxy-2-(4-hydroxyphenyl)-2,3-bis(3-methylbut-2-enyl)-3H-chromen-4-one",AAADceB4OAAAAAAAAAAAAAAAAAAAAAAAAAA0YIAAAAAAAACRQAAAGgAACAAADUSAmAAyBoAABgCIAqBSAAACCAAkIAAIiAEGCMgMJzaGNRqCeWCl4BUIuQeI7PzOoAAACAAIAABAAAAQABAAAAAAAAAAAA==,False,False,False
"DUKE:3,5,8,3',4'-PENTAHYDROXYFLAVONE",PCID:76319461,CHEBI:NA,,PCID:76319461,C15H10O7,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=CC(=C3O2)O)O)O)O)O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=CC(=C3O2)O)O)O)O)O,"InChI=1S/C15H10O7/c16-7-2-1-6(5-10(7)19)14-13(21)12(20)11-8(17)3-4-9(18)15(11)22-14/h1-5,16-19,21H",XYBMNAVZIGFQCG-UHFFFAOYSA-N,"2-(3,4-dihydroxyphenyl)-3,5,8-trihydroxychromen-4-one",AAADccBwOAAAAAAAAAAAAAAAAAAAAAAAAAAwYIAAAAAAAACBQAAAGgAACAAADASAmAAwBoAABgCIAqBSAAICCAAkIAAIiAFGiMgNJzaGNRqCeWOl4BULuQfK6LyOIQABCAAIQABCAAIQABCAAAAAAAAAAA==,False,True,True
DUKE:COLUBRIN,PCID:441914,CHEBI:3825,Colubrin,PCID:441914,C48H76O18,CC(=CC1CC(C2C3CCC4C5(CCC(C(C5CCC4(C36CC2(O1)OC6)C)(C)C)OC7C(C(C(CO7)O)OC8C(C(C(C(O8)CO)O)O)OC9C(C(C(CO9)O)O)O)OC(=O)C)C)(C)O)C,CC(=C[C@H]1C[C@]([C@@H]2[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@]36C[C@@]2(O1)OC6)C)(C)C)O[C@H]7[C@@H]([C@H]([C@H](CO7)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)OC(=O)C)C)(C)O)C,"InChI=1S/C48H76O18/c1-22(2)15-24-16-46(8,57)39-25-9-10-30-44(6)13-12-31(43(4,5)29(44)11-14-45(30,7)47(25)20-48(39,66-24)60-21-47)63-41-38(61-23(3)50)36(27(52)19-59-41)64-42-37(34(55)33(54)28(17-49)62-42)65-40-35(56)32(53)26(51)18-58-40/h15,24-42,49,51-57H,9-14,16-21H2,1-8H3/t24-,25+,26+,27-,28+,29-,30+,31-,32-,33+,34-,35+,36-,37+,38+,39-,40-,41-,42-,44-,45+,46-,47-,48-/m0/s1",ZIUOAVDHMLNSNY-QGEXMSAISA-N,"[(2S,3R,4S,5S)-4-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-2-[[(1S,2R,5R,7S,10R,11R,14R,15S,16S,18R,20S)-16-hydroxy-2,6,6,10,16-pentamethyl-18-(2-methylprop-1-enyl)-19,21-dioxahexacyclo[18.2.1.01,14.02,11.05,10.015,20]tricosan-7-yl]oxy]oxan-3-yl] acetate",AAADcfB8PgAAAAAAAAAAAAAAAAAAAaIAAAA0aNEiQAAAAGjQAAAAGgAACAAAD1SwgAMCCAAABgCIAiDSCAAAAAAgAAAACAAAAAgRFAIAIQAiUAAFgAAPIAPA4PwPgAAAAAAAAADAAAYAADAAAYAADAAAAA==,False,False,True
DUKE:FARNESENE,PCID:5281516,CHEBI:39237,farnesene,PCID:5281516,C15H24,CC(=CCCC(=CCC=C(C)C=C)C)C,CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,"InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9-10,12H,1,7-8,11H2,2-5H3/b14-10+,15-12+",CXENHBSYCFFKJS-VDQVFBMKSA-N,"(3E,6E)-3,7,11-trimethyldodeca-1,3,6,10-tetraene",AAADceBwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGAAAAAAADACAAAACAAAAAACAAiBCAAAAAAAgAAAICAAAAAgIAAIAAQAAAAAAgAAIgAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:HYDROXYPHENYLLACTIC-ACID,PCID:9378,CHEBI:17385,3-(4-hydroxyphenyl)lactic acid,PCID:9378,C9H10O4,C1=CC(=CC=C1CC(C(=O)O)O)O,C1=CC(=CC=C1CC(C(=O)O)O)O,"InChI=1S/C9H10O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8,10-11H,5H2,(H,12,13)",JVGVDSSUAVXRDY-UHFFFAOYSA-N,2-hydroxy-3-(4-hydroxyphenyl)propanoic acid,AAADccBwOAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADBSgmAIwDoAAAgCIAiDSCAICAAAgIAAIiAFGCIgJNjKCERKAcAAkwBEJmAeIyKCOIAAAAAAAAABAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:JACONINE,PCID:119200,CHEBI:136457,jaconine N-oxide,PCID:119200,C18H26ClNO6,CC1CC(C(=O)OC2CCN3C2C(=CC3)COC(=O)C1(C)O)(C(C)Cl)O,CC1CC(C(=O)OC2CCN3C2C(=CC3)COC(=O)C1(C)O)(C(C)Cl)O,"InChI=1S/C18H26ClNO6/c1-10-8-18(24,11(2)19)16(22)26-13-5-7-20-6-4-12(14(13)20)9-25-15(21)17(10,3)23/h4,10-11,13-14,23-24H,5-9H2,1-3H3",CKPJPJSVQMEGBC-UHFFFAOYSA-N,"4-(1-chloroethyl)-4,7-dihydroxy-6,7-dimethyl-2,9-dioxa-14-azatricyclo[9.5.1.014,17]heptadec-11-ene-3,8-dione",AAADceB6OAAEAAAAAAAAAAAAAAAAAWIAAAAAAAAAAAAQAAAAAAAAHgIACAAADX/hgEYCCAMABgCIAiDSCAKAAAAgAAAACAFIAwgDBBIBoQAHUAAGwACbIAPY7HzOgAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:2-PENTANOL,PCID:22386,CHEBI:77518,pentan-2-ol,PCID:22386,C5H12O,CCCC(C)O,CCCC(C)O,"InChI=1S/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3",JYVLIDXNZAXMDK-UHFFFAOYSA-N,pentan-2-ol,AAADccBgIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACBSggAICAAAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAEAIAAAAAQAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:4-EPIABIETIC-ACID,PCID:6973653,CHEBI:NA,,PCID:6973653,C20H30O2,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@]3(C)C(=O)O)C,"InChI=1S/C20H30O2/c1-13(2)14-6-8-16-15(12-14)7-9-17-19(16,3)10-5-11-20(17,4)18(21)22/h7,12-13,16-17H,5-6,8-11H2,1-4H3,(H,21,22)/t16-,17+,19+,20-/m0/s1",RSWGJHLUYNHPMX-CUDHKJQZSA-N,"(1S,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid",AAADceB4MAAAAAAAAAAAAAAAAAAAAAAAAAAwQIAAAAAAAACAAAAAGgAACAAADwCAgAACCAAAAgCIAiDSCAAAAAAgAAAACAEAAAgIABIAAQAAQAAEgAAIgAOIyPCPgAAAAAAAAAAAAAQAACAAAAAAAAAAAA==,False,False,False
